name,long_name,energy_type,coupled
liquid_metal_battery,Liquid Metal \n Battery,Chemical,Coupled
latent_thermal,Latent Thermal,Thermal,Decoupled
sensible_thermal,Sensible \nThermal,Thermal,Decoupled
thermochemical,Thermochemical,Chemical,Decoupled
pressure_cavern,Pressure Cavern,Pressure,Decoupled
pressure_tank,Pressure Tank*,Pressure,Decoupled
smes,SMES*,Magnetic,Coupled
solid_electrode,Dual Solid \nElectrode Battery,Chemical,Coupled
pseudocapacitor,Pseudocapacitor,Chemical,Coupled
EDLC,EDLC,Electrostatic,Coupled
flow_battery,Flow Battery,Chemical,Decoupled
synfuel,Synthetic Fuel,Chemical,Decoupled
gravitational,Gravity,Gravitational,Decoupled
dielectric_capacitor,Dielectric \nCapacitor,Electrostatic,Coupled
metal_air,Metal Air,Chemical,Coupled
hybrid_flow,Hybrid Flow,Chemical,Coupled
flywheel,Flywheel*,Kinetic,Coupled