index,original_name,molecular_formula,specific_price
Ammonium Heptamolybdate,Ammonium heptamolybdate,H50Mo7N6O28 ,19.018
Ammonium Tetrathiomolybdate,Ammonium Tetrathiomolybdate,H10MoN2S4,18.728
Antimony Ethylene Glycoxide,Antimony ethelyene_glycol,,5.299
As,Arsenic metal,As,1.145
As2O3,Arsenic trioxide,As2O3,0.43000000000000005
Bi,Bismuth ingot,Bi,6.333515876680752
Bi2O3,Bismuth oxides,Bi2O3,6.497
C2O6Zr,Zirconium Carbonates,C2O6Zr,3.3825000000000003
CCoO3,Cobalt Carbonates,CCoO3,14.445
CLi2O3,Lithium Carbonates,CLi2O3,11.243
CW,Tungsten carbide,CW,28.475
Ca,"Calcium Granule, Calcium Ingot",Ca,3.7736000000000005
Cd,Cadmium Ingot,Cd,2.784739448795549
Cl2Co,Cobalt Chloride,Cl2Co,6.388
Cl2H2OZr,Zirconium Oxychloride,Cl2H2OZr,2.2720000000000002
Cl4Ti,Titanium tetrachloride,Cl4Ti,1.1685
ClLi,Lithium chlorides,ClLi,9.7995
Co,"Cobalt Conc., Cobalt Intermediate, Cobalt Powder, Cobalt metal",Co,27.900819913325638
Co3O4,"Cobalt Tetroxide, Cobalt oxides",Co3O4,22.2
CoO,Cobalt Monoxide,CoO,31.6
CoO4S,Cobalt sulphates,CoO4S,5.3715
Cr,Chromium metal,Cr,8.244
CrFeO4,"Chrome Conc., Chrome lump",CrFeO4,0.12297727272727271
FeH6O3Ti,"Ilmenite Conc, Ilmenite Reduced, Rutile Conc, Titanium Slag",FeH6O3Ti,0.3993333333333333
Ga,Gallium metal,Ga,151.625
Ge,Germanium metal,Ge,1152.75
GeO2,Germanium dioxides,GeO2,720.5
H4NO3V,Ammonium metavanadate,H4NO3V,16.913
H8N2O4W,Tungsten APT,H8N2O4W,20.13233333333333
In,Indium ingot,In,168.75
LCO,Lithium Cobaltate,LiCoO2,28.950000000000003
LMO,Lithium manganates,LiMn2O4,6.968500000000001
Li,Lithium metal,Li,100.17275000000001
Lithium Hydroxide Monohydrate,Lithium hydroxides_monohydrates,LiOH(H2O),13.18125
Metallurgical Silicon,Silicon metal,,1.765666728000003
Mg,"Magnesium Ingot, Magnesium Powder, Manganese flakes, Mercury metal",Mg,7.123875000000001
Mn,"Manganese Briquette, Manganese Lump",Mn,2.005
MnO2,Manganese dioxides,MnO2,1.60425
MnO4S,Manganese sulphates,MnO4S,0.9875
Mo,"Molybdenum Powder, Molybdenum Rod, Molybdenum bar",Mo,43.63333333333333
MoNa2O4,Sodium Molybdate,MoNa2O4,12.485
MoO3,Molybdenum oxides,MoO3,25.66737438890782
MoS2,Molybdenum Conc.,MoS2,26.35
NV,Vanadium nitrides,NV,27.0755
Na2O4W,Sodium Tungstate,Na2O4W,14.9535
Nb2O5,"Niobium Conc., Niobium pentoxides",Nb2O5,35.47264430285721
O2Se,Selenium dioxides,O2Se,12.7
O2Ti,Titanium Dioxide,O2Ti,1.9813333333333334
O2Zr,Zirconium fused_cubic,O2Zr,4.3555
O3Sb2,Antimony Trioxide,O3Sb2,5.37909715663868
O3W,"Tungsten oxides, Wolfram Ore",O3W,18.81775
O4SiZr,"Zircon sand, Zirconium silicate",O4SiZr,1.6375
O5Ta2,"Tantalum Conc., Tantalum pentoxide",O5Ta2,197.93038657815165
O5V2,Vanadium pentoxides,O5V2,17.306960589916155
Polysilicon,Silicon polysilicon,,10.55
Re,Rhenium APR,Re,1502.5
Sb,Antimony Ingot,Sb,5.963108856403382
Se,Selenium Powder,Se,20.271760276302707
Sr,Strontium metal,Sr,6.80275
Ta,Tantalum metal,Ta,281.6666666666667
Te,Tellurium metal,Te,55.96666666666667
Ti,"Titan Sponge, Titanium pipe, Titanium plate",Ti,15.731000000000002
W,"Tungsten powder, Tungsten scrap, Wolfram Bar",W,24.342857142857145
Zr,Zirconium Sponge,Zr,35.85
