couple_name,year,C_kwh_orig,ancat,type,A,B,mu_A,mu_B,deltaV,specific_energy
Pb acid,1859.0,12.4,Pb/PbO2,Pb acid,Pb,Pb,207.2,207.2,1,0.06467516623766624
NiCd,1899.0,66.0,Cd(OH)2/Ni(OH)2,NiCd,Cd(OH)2,Ni(OH)2,146.428,92.70739999999999,1,0.11207620824390235
NiMH,1978.0,82.8,LaNi5/Ni(OH)2,NiMH,LaNi5,Ni(OH)2,432.37247,92.70739999999999,1,0.0510424992847067
Zn/air,1878.0,5.8,Zn/O2,Zn2+ based,Zn,Air,65.38,31.998,1,0.2752304307840466
Zn/NiOOH,1899.0,44.2,Zn/NiOOH,Zn2+ based,Zn,Ni(OH)2,65.38,92.70739999999999,1,0.16953526270208052
Zn/MnO2,1959.0,9.0,Zn/MnO2,Zn2+ based,Zn,MnO2,65.38,86.936043,1,0.17595906748239837
Zn/Br2,1972.0,8.0,Zn/Br2,Zn2+ based,Zn,Br2,65.38,159.808,1,0.11901783793492055
Zn/Fe,2015.0,9.3,Zn(OH)4/Fe,Zn2+ based,Zn(OH)4,Fe,133.408,55.845,1,0.14161671883081847
Zn/Zn0.25V2O5,2016.0,50.7,Zn/Zn0.25V2O5,Zn2+ based,Zn,Zn0.25V2O5,65.38,198.223,1,0.10167330754539548
Mg/Ti2S4,2016.0,358.7,Mg/Ti2S4,Mg2+ based,Mg,Ti2S4,24.305,223.974,1,0.10794867422894762
Li/S,1958.0,13.7,Li/S,Lithium metal,Li,S,6.94,32.06,3,2.061645299145299
Li/TiS2,1976.0,192.1,Li/TiS2,Lithium metal,Li,TiS2,6.94,111.987,3,0.6760800042603166
Li/MoS2,1979.0,35.7,Li/MoS2,Lithium metal,Li,MoS2,6.94,160.07,3,0.48143324751012917
Li/LCO,1980.0,90.3,Li/LiCoO2,Lithium metal,Li,Lithium Cobaltate,6.94,97.871194,3,0.7671333909874805
Li/air,1996.0,45.5,Li/O2,Lithium metal,Li,Air,6.94,31.998,3,2.0649280052048553
Na/S,1966.0,1.6,Na/S,High temperature,Na,S,22.98976928,32.06,1,0.48685742446201374
Na/NiCl2,1978.0,6.6,Na/NiCl2,High temperature,Na,NiCl2(H2O)6,22.98976928,237.6834,1,0.10281606259254242
Li/Pb2Sb,2014.0,64.1,Li/Pb2Sb,High temperature,Li,Pb2Sb,6.94,536.16,1,0.04934890239162012
ICB,1975.0,28.3,Cr/Fe,Redox flow,Cr,Fe,51.9961,55.845,1,0.24852666459159714
Fe/Fe,1981.0,15.5,Fe/Fe,Redox flow,Fe,Fe,55.845,55.845,1,0.23996229643557065
PSB,1981.0,7.4,S2/Br3,Redox flow,S,Br3,32.06,239.712,1,0.09861718237673082
VRFB,1986.0,124.4,V/V,Redox flow,V,V,50.9415,50.9415,1,0.26306046041919545
Cu/Cu,2014.0,53.0,Cr/Cu,Redox flow,Cr,Cu,51.9961,63.546,1,0.23196210635680747
AQDS/Br,2014.0,57.9,C14H8O8S2/Br2,Redox flow,AQDS,Br2,368.33,159.808,1,0.05074694282344556
"Aq-S/air  (Na, H+)",2017.0,1.7,S2/O2,Flow-air,S,Air,32.06,31.998,1,0.41839253315571645
"Aq-S/air  (Na, OH-)",2017.0,4.0,S2/O2,Flow-air,S,Air,32.06,31.998,1,0.41839253315571645
"Aq-S/air  (Li, H+)",2017.0,4.6,S2/O2,Flow-air,S,Air,32.06,31.998,1,0.41839253315571645
"Aq-S/air (Li, OH-)",2017.0,13.2,S2/O2,Flow-air,S,Air,32.06,31.998,1,0.41839253315571645
C6/LMO,1984.0,45.6,C6/LiMn2O4,Li ion  (C6 anode),Graphite,Lithium Manganate,72.066,180.812086,3,0.3179562449973094
C6/LCO,1991.0,98.3,C6/LiCoO2,Li ion  (C6 anode),Graphite,Lithium Cobaltate,72.066,97.871194,3,0.4731404866357077
C6/LFP,1997.0,44.0,C6/LiFePO4,Li ion  (C6 anode),Graphite,LiFePO4,72.066,157.754761998,3,0.3498559745762499
C6/LMNO,1997.0,51.3,C6/LiMn1.5Ni0.5O4,Li ion  (C6 anode),Graphite,LiMn1.5Ni0.5O4,72.066,182.6897645,3,0.31561274707354725
LTO/LMO,1998.0,90.1,Li4Ti5O12/LiMn2O4,Li ion  (C6 anode),Li4Ti5O12,Lithium Manganate,459.08299999999997,180.812086,3,0.1256521083311877
C6/NCM111,2001.0,51.3,C6/LiNi0.33Co0.33Mn0.33O2,Li ion  (C6 anode),Graphite,LiNi0.33Co0.33Mn0.33O2,72.066,95.88433021,3,0.4787377706619078
C6/LMP,2002.0,36.3,C6/LiMnPO4,Li ion  (C6 anode),Graphite,LiMnPO4,72.066,156.84780499800002,3,0.3512421047187134
C6/NCA,2002.0,68.3,C6/LiNi0.8Co0.15Al0.05O2,Li ion  (C6 anode),Graphite,LiNi0.8Co0.15Al0.05O2,72.066,96.08177602,3,0.47817561772035067
C6/LRMO LMNO,2005.0,35.6,C6/(Li2MnO3)0.3(LiMn0.5Ni0.5O2)0.7,Li ion  (C6 anode),Graphite,(Li2MnO3)0.3(LiMn0.5Ni0.5O2)0.7,72.066,102.07211794999998,3,0.46172640208362076
C6/NCM622,2016.0,47.1,C6/LiNi0.6Co0.2Mn0.2O2,Li ion  (C6 anode),Graphite,LiNi0.6Co0.2Mn0.2O2,72.066,96.9282874,3,0.4757803823057907
Si/LCO,2009.0,97.2,Si/LiCoO2,Li ion  (Si anode),Polysilicon,Lithium Cobaltate,28.085,97.871194,3,0.638350239978406
Si/Li2S,2010.0,12.5,Si/Li2S,Li ion  (Si anode),Polysilicon,Li2S,28.085,45.940000000000005,3,1.0861758414949905
Na/P2-NMO,2001.0,38.9,Na/Na0.67Mn0.67Ni0.33O2,Na ion (nonaqueous),Na,Na0.67Mn0.67Ni0.33O2,22.98976928,103.5784562276,3,0.635263442654797
NTP/NMO,2013.0,212.4,NaTi2(PO4)3/Na0.44MnO2,Na ion (aqueous),NaTi2(PO4)3,Na0.44MnO2,403.633055274,97.05154148320001,1,0.05352948555332898
